MSE,RMSE,MAPE(%),ExplainedVar,R2,seed
266297.5313,516.0402419,13.42757642,0.823229551,0.823228955,42
802462.9375,895.8029568,13.79767805,0.589529991,0.555584431,43
141905.25,376.7031325,10.78882217,0.935500622,0.931486666,44
699871.9375,836.5834911,11.33441702,0.792249322,0.781383693,45
925365.9375,961.9594261,15.92496783,0.649982572,0.61736834,46
941871.5,970.500644,22.18119353,0.589192152,0.574500799,47
171020.0938,413.5457577,13.86182457,0.879100442,0.837739825,48
595109.6875,771.4335276,32.64332712,0.566358626,0.546311617,49
1719105,1311.146445,39.71521854,0.359310567,0.355282128,50
1189184.75,1090.497478,35.07214785,0.264594972,0.202797174,51
745219.4625,814.4213101,20.87471731,0.644904882,0.622568363,
