MSE,RMSE,MAPE(%),ExplainedVar,R2,seed
185325.0469,430.4939568,13.49032819,0.881697357,0.876979351,42
861720.375,928.2889502,16.78541005,0.527408719,0.522766888,43
173483.875,416.5139553,12.90057153,0.916550994,0.916240156,44
641938.0625,801.2103734,12.21882179,0.808508992,0.799480259,45
967749.375,983.7425349,15.0940448,0.653766155,0.599843144,46
912136.1875,955.0582116,23.50158244,0.600386977,0.587934017,47
10141.15039,100.7032789,6.709819287,0.990500748,0.99037832,48
695214.0625,833.7949763,37.19308376,0.476367712,0.469995916,49
1768631.875,1329.899197,42.08492339,0.350679755,0.336708009,50
1349209.75,1161.554885,35.7471168,0.167552114,0.09551996,51
756554.976,794.1260319,21.5725702,0.637341952,0.619584602,
