MSE,RMSE,MAPE(%),ExplainedVar,R2,seed
327226.4063,572.0370672,14.55713511,0.783720851,0.782783747,42
961408.4375,980.5143739,15.96885771,0.519366384,0.467558205,43
227825.3906,477.3105809,12.15215847,0.894295931,0.890003502,44
566471.5,752.6430097,10.59516221,0.830090642,0.823053479,45
929914.6875,964.3208426,14.35109228,0.649925709,0.615487456,46
915134.625,956.6266905,21.34009302,0.605420589,0.586579442,47
9330.842773,96.59628758,6.358263642,0.991317749,0.991147101,48
499323.0313,706.6279299,29.4185251,0.645878315,0.619335592,49
2035976,1426.876309,47.89288044,0.267066181,0.236445665,50
1101424.125,1049.487554,34.24139023,0.313978553,0.261629939,51
757403.5046,798.3040644,20.68755582,0.65010609,0.627402413,
