MSE,RMSE,MAPE(%),ExplainedVar,R2,seed
808253.0625,899.0289553,19.64871436,0.457592905,0.430197418,0
2301135.75,1516.949488,55.64314723,0.371403158,0.214342296,1
594589.1875,771.0960949,14.280954,0.77361697,0.768165588,2
336106.1563,579.7466311,22.75466919,0.875083089,0.866132617,3
808616.4375,899.2310257,20.94221264,0.603090763,0.578824162,4
680889.5625,825.1603253,24.03776199,0.793779433,0.773428082,5
715640,845.9550815,21.61408961,0.759579241,0.758077264,6
547234.75,739.7531683,14.14205581,0.820664525,0.820070624,7
1078847.25,1038.675719,25.20323694,0.303186476,0.299020529,8
295985.3125,544.0453221,13.87255043,0.903813839,0.902950108,9
816729.7469,865.9641812,23.21393922,0.66618104,0.641120869,
