MSE,RMSE,MAPE(%),ExplainedVar,R2,seed
24974.25781,158.0324581,8.896045387,0.988375664,0.98837471,11
33030.97266,181.7442507,8.073379844,0.988217115,0.986710608,19
34430.78125,185.555332,9.901623428,0.986305773,0.986305654,27
14995.48633,122.4560588,5.864934996,0.985887289,0.98577261,48
33358.75391,182.6437897,7.195700705,0.985723257,0.985440314,16
60209.39063,245.3760188,11.06060892,0.977793038,0.976980388,14
70006.78125,264.5879462,7.880584896,0.976740837,0.970959008,30
150835.9219,388.3760058,10.39797664,0.930507898,0.927174866,44
144112.3125,379.6212751,15.38512111,0.926260114,0.925153136,58
203540.0938,451.1541796,13.09125572,0.91790086,0.915258229,17
369474.7813,607.8443726,10.14017463,0.89040339,0.878853858,9
217723,466.6079725,19.01327223,0.879100382,0.87847209,37
392955.5938,626.8617023,14.51423019,0.849043667,0.843490064,3
594773.75,771.215761,12.42859885,0.826759458,0.814212799,45
592036,769.4387565,21.51672542,0.795358896,0.794666052,10
546757.875,739.4307777,17.06886292,0.799209833,0.79426533,18
639144.375,799.4650555,22.52392918,0.790390134,0.785256863,35
600668.625,775.0281447,20.68807632,0.784134507,0.782342792,20
571034.875,755.6684954,16.70514196,0.787486136,0.778470933,32
569319.375,754.532554,13.0960688,0.785384238,0.778018475,2
293169.1501,481.2820453,13.27211561,0.892549124,0.888808939,
