MSE,RMSE,MAPE(%),ExplainedVar,R2,seed
227630.7656,477.1066606,11.7904298,0.851142764,0.848896384,42
925824.625,962.1978097,12.83016056,0.515690684,0.487264991,43
162944.0156,403.6632453,11.39477938,0.92718333,0.921328902,44
886815.375,941.7087527,11.77892908,0.728920341,0.722988844,45
899028.1875,948.1709696,12.43138313,0.644791663,0.628258824,46
889001.1875,942.868595,21.00585997,0.613173962,0.598385453,47
30129.1543,173.5775167,7.919492573,0.975554824,0.971414089,48
657967.625,811.1520357,39.09943104,0.500350237,0.498391151,49
1878021,1370.409063,44.06635165,0.308590353,0.295683682,50
973125.75,986.471363,29.85571921,0.377487123,0.347638249,51
753048.7686,801.7326011,20.21725364,0.644288528,0.632025057,
