MSE,RMSE,MAPE(%),ExplainedVar,R2,seed
432141.3125,657.3745603,15.8728376,0.715934396,0.71314019,42
858750.9375,926.6881555,17.23313034,0.529925227,0.52441138,43
150835.9219,388.3760058,10.39797664,0.930507898,0.927174866,44
594773.75,771.215761,12.42859885,0.826759458,0.814212799,45
859112.625,926.8832855,11.875128,0.660830498,0.644763589,46
772737.125,879.0546769,19.22737211,0.662897706,0.650908828,47
14995.48633,122.4560588,5.864934996,0.985887289,0.98577261,48
724589.1875,851.2280467,34.87708867,0.494677544,0.447601438,49
1579096.75,1256.621164,37.35017478,0.410651505,0.407789588,50
766089.1875,875.2652098,30.98290563,0.510889053,0.486430943,51
675312.2283,765.5162924,19.61101476,0.672896057,0.660220623,
