MSE,RMSE,MAPE(%),ExplainedVar,R2,seed
853107.3125,923.6380852,19.24861968,0.425044477,0.398576081,0
2309032.5,1519.550098,55.58539629,0.331973016,0.21164614,1
1081199.125,1039.807254,22.23535478,0.578595996,0.578433037,2
473666.3438,688.2342216,20.60105503,0.812176526,0.811343908,3
1140605.375,1067.99128,27.96840072,0.460761666,0.405904412,4
628766.1875,792.9477836,27.85784602,0.804044008,0.790772617,5
777037.75,881.4974475,19.63731349,0.737667799,0.737321675,6
414490.9063,643.8096817,8.599402755,0.86860162,0.863716424,7
831864.9375,912.066301,22.05337286,0.503429711,0.459496915,8
423588.875,650.8370572,12.50113696,0.90020895,0.861110568,9
893335.9313,912.037921,23.62878986,0.642250377,0.611832178,
