MSE,RMSE,MAPE(%),ExplainedVar,R2,seed
806719.5625,898.1756858,18.82217377,0.452973306,0.431278527,0
1888358.25,1374.17548,50.84972978,0.424390733,0.355273485,1
746248.8125,863.8569398,13.97318691,0.7186746,0.709032476,2
449979.3438,670.8049968,26.40927136,0.841158152,0.820778131,3
964971.9375,982.3298517,26.85901821,0.548630238,0.497384846,4
639669.3125,799.7932936,20.31104416,0.798273027,0.787144542,5
600912.625,775.1855423,17.91047901,0.799552321,0.796860933,6
544582.625,737.9584169,13.56216371,0.822122335,0.820942581,7
978455.5625,989.1691273,24.52384084,0.370119035,0.364249885,8
163301.6563,404.1059963,11.3499783,0.947858036,0.946455419,9
778319.9688,849.5555331,22.4570886,0.672375178,0.652940083,
